epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,24337.5,1.09433,0.85233,1.08133,0.73505,0.9177,0.87385,0.59126,1.10309,0.76786,1.113,0.000858338,0.000858338,0.000858338
100,24560.3,1.10942,0.89746,1.08903,0.77572,0.85612,0.85939,0.58934,1.07543,0.78228,1.10695,0.000850087,0.000850087,0.000850087
101,24843.2,1.10911,0.88506,1.09105,0.76031,0.91234,0.88262,0.59898,1.10711,0.75918,1.1208,0.000841835,0.000841835,0.000841835
102,25021,1.09094,0.8786,1.07983,0.76629,0.85666,0.85742,0.57701,1.09996,0.78445,1.1044,0.000833583,0.000833583,0.000833583
103,25311.4,1.08613,0.8803,1.09039,0.74998,0.91279,0.88455,0.60341,1.09736,0.74964,1.08452,0.000825332,0.000825332,0.000825332
104,25467.7,1.0376,0.84578,1.09314,0.75012,0.90522,0.86268,0.59357,1.07048,0.77738,1.08054,0.00081708,0.00081708,0.00081708
105,25703.2,1.06187,0.87875,1.11128,0.70735,0.91523,0.86566,0.58774,1.10724,0.78463,1.09383,0.000808828,0.000808828,0.000808828
106,25959,1.05808,0.85396,1.07427,0.77817,0.8947,0.88272,0.59896,1.11492,0.76582,1.11613,0.000800577,0.000800577,0.000800577
107,26222.1,1.06849,0.84277,1.08676,0.7876,0.91294,0.88605,0.61425,1.07365,0.80087,1.07936,0.000792325,0.000792325,0.000792325
108,26398.6,1.02582,0.83962,1.07983,0.74227,0.91241,0.86301,0.60443,1.0502,0.79528,1.06589,0.000784073,0.000784073,0.000784073
109,26599,1.09504,0.88488,1.10025,0.76164,0.90798,0.8914,0.60273,1.08412,0.74748,1.06456,0.000775822,0.000775822,0.000775822
110,26885.7,1.06073,0.86907,1.07993,0.74438,0.88508,0.85494,0.59138,1.07569,0.79101,1.10095,0.00076757,0.00076757,0.00076757
111,27147.9,1.02549,0.82921,1.04508,0.75752,0.91591,0.88893,0.61519,1.08865,0.73894,1.08993,0.000759318,0.000759318,0.000759318
112,27395.7,1.04897,0.86646,1.08736,0.74693,0.92415,0.8701,0.60495,1.07391,0.76432,1.08816,0.000751067,0.000751067,0.000751067
113,27697.3,1.0525,0.82098,1.05951,0.73843,0.91502,0.87183,0.60452,1.06313,0.74808,1.08488,0.000742815,0.000742815,0.000742815
114,28009.9,1.0747,0.82884,1.07766,0.70988,0.91006,0.83618,0.58131,1.05999,0.80477,1.05508,0.000734564,0.000734564,0.000734564
115,28236.1,1.07238,0.87038,1.09,0.76066,0.91029,0.88646,0.61096,1.09443,0.7551,1.11938,0.000726312,0.000726312,0.000726312
116,28541.8,1.07566,0.85879,1.07317,0.75847,0.89676,0.87446,0.60547,1.07729,0.7399,1.1049,0.00071806,0.00071806,0.00071806
117,28795.8,1.02974,0.8173,1.06842,0.75757,0.9145,0.87658,0.60445,1.09745,0.74941,1.10431,0.000709809,0.000709809,0.000709809
118,29092.3,1.07213,0.85486,1.08545,0.75705,0.9268,0.8709,0.60616,1.07856,0.73911,1.09233,0.000701557,0.000701557,0.000701557
119,29333.6,1.04041,0.83323,1.06604,0.73613,0.91579,0.8585,0.59404,1.07168,0.75508,1.08775,0.000693305,0.000693305,0.000693305
120,29599.2,1.0199,0.85706,1.07695,0.789,0.90793,0.89459,0.62355,1.02994,0.72194,1.07475,0.000685054,0.000685054,0.000685054
121,29775.1,1.01594,0.79585,1.0402,0.77475,0.91558,0.89063,0.62474,1.05723,0.71599,1.07766,0.000676802,0.000676802,0.000676802
122,30070.7,1.03547,0.83296,1.05946,0.76589,0.91673,0.88208,0.61647,1.0349,0.71312,1.0474,0.00066855,0.00066855,0.00066855
123,30298.6,1.02309,0.78704,1.0665,0.77913,0.89614,0.89238,0.62074,1.05045,0.71844,1.0716,0.000660299,0.000660299,0.000660299
